0.5 hrs;1 hr;2 HRS;
-0.072276929;-0.072276929;-0.072276929;0.012345679
-0.046310457;0.01663474;0.027075569;0.024691358
-0.041968912;0.031426295;0.032527115;0.037037037
-0.0382777;0.034438515;0.033763531;0.049382716
-0.031449933;0.036436484;0.034208646;0.061728395
-0.031157775;0.036917768;0.036353123;0.074074074
-0.030760258;0.037595885;0.037420928;0.086419753
-0.030089468;0.039521943;0.037991103;0.098765432
-0.028438943;0.040624989;0.039780165;0.111111111
-0.027254625;0.041054974;0.040790871;0.12345679
-0.027045855;0.042252893;0.041856094;0.135802469
-0.026866856;0.042618515;0.041925359;0.148148148
-0.023805822;0.042641894;0.042203567;0.160493827
-0.023022739;0.043368544;0.043860672;0.172839506
-0.021120182;0.043579017;0.045675973;0.185185185
-0.020446513;0.044264409;0.04643273;0.197530864
-0.020383706;0.045546677;0.047695871;0.209876543
-0.020142175;0.046202063;0.048659204;0.222222222
-0.020127479;0.046376343;0.048794217;0.234567901
-0.01999264;0.046465592;0.049277488;0.24691358
-0.01938551;0.046766931;0.049802381;0.259259259
-0.019328639;0.047480196;0.051355924;0.271604938
-0.018929844;0.048147508;0.051521799;0.283950617
-0.017527942;0.048286059;0.051636626;0.296296296
-0.017444289;0.048287157;0.051834506;0.308641975
-0.016476204;0.048333732;0.052059723;0.320987654
-0.016313897;0.048586522;0.052473014;0.333333333
-0.015970783;0.048766841;0.054266022;0.345679012
-0.015837863;0.049213931;0.054307318;0.358024691
-0.015144732;0.049301795;0.054331699;0.37037037
-0.014209882;0.050545149;0.05506875;0.382716049
-0.014003138;0.051384047;0.055446142;0.395061728
-0.012674302;0.051787082;0.0555338;0.407407407
-0.012369904;0.052118293;0.055750805;0.419753086
-0.012072226;0.052910609;0.055795478;0.432098765
-0.011313731;0.052937642;0.056315308;0.444444444
-0.011125308;0.053488135;0.056528835;0.456790123
-0.011036548;0.05357789;0.056743685;0.469135802
-0.011018322;0.053888754;0.056775297;0.481481481
-0.01080696;0.054758944;0.056863196;0.49382716
-0.010698087;0.054932722;0.057022312;0.50617284
-0.010387466;0.055064423;0.057234953;0.518518519
-0.010069004;0.055343605;0.057439919;0.530864198
-0.00999939;0.055400697;0.057771435;0.543209877
-0.009972799;0.055427552;0.058021411;0.555555556
-0.009702921;0.056163258;0.05821187;0.567901235
-0.009685954;0.056477576;0.058537796;0.580246914
-0.009390634;0.05675862;0.059322792;0.592592593
-0.008927782;0.05758453;0.059493943;0.604938272
-0.008688437;0.058110315;0.059500317;0.617283951
-0.006871629;0.058247267;0.060180872;0.62962963
-0.006517501;0.058328551;0.060262895;0.641975309
-0.005790071;0.058560052;0.060461907;0.654320988
-0.005357539;0.058609433;0.060605792;0.666666667
-0.005307077;0.059091898;0.0608048;0.679012346
-0.005222312;0.059762569;0.061125723;0.691358025
-0.004693392;0.060246499;0.061878312;0.703703704
-0.004347693;0.061317447;0.062866268;0.716049383
-0.004018991;0.061826049;0.063542759;0.728395062
-0.003456431;0.062112101;0.063562317;0.740740741
-0.003082567;0.062610639;0.063644028;0.75308642
-0.003075088;0.063475252;0.063984353;0.765432099
-0.002905731;0.063545419;0.064564821;0.777777778
-0.00289618;0.063853214;0.064625276;0.790123457
-0.002633485;0.064238463;0.064972507;0.802469136
-0.001019208;0.065208114;0.065980791;0.814814815
-0.000468037;0.065643346;0.068051456;0.827160494
0.000962489;0.065741172;0.06926676;0.839506173
0.001459511;0.066467202;0.069367675;0.851851852
0.001901565;0.06696246;0.071050902;0.864197531
0.002662883;0.067365334;0.071142802;0.87654321
0.003162015;0.068193841;0.072052504;0.888888889
0.004066714;0.070166505;0.073128064;0.901234568
0.004219118;0.070547818;0.074079023;0.913580247
0.005342104;0.0715817;0.074326458;0.925925926
0.005525286;0.072238224;0.075404986;0.938271605
0.006195084;0.073803253;0.076615879;0.950617284
0.006567713;0.074153948;0.077084281;0.962962963
0.007082005;0.075654185;0.078594782;0.975308642
0.009485394;0.078590163;0.082187741;0.987654321
0.009697588;0.089923768;0.092195268;1
